UserName,RestaurantName,Review,Rating
"Michael Jordan","Chick-fil-A","Delicious chicken sandwiches and excellent service.",5
"Larry Bird","Chick-fil-A","Great place for quick and tasty chicken.",4
"Magic Johnson","Chick-fil-A","Love their waffle fries and friendly staff.",4
"Michael Jordan","Whataburger","Great burgers and tasty fries.",4
"Larry Bird","Whataburger","Awesome late-night option, good shakes.",3
"Magic Johnson","Whataburger","Quality burgers, but long wait times.",4
"Michael Jordan","In-N-Out Burger","Classic burgers done right, always fresh.",5
"Larry Bird","In-N-Out Burger","Love their secret menu options.",4
"Magic Johnson","In-N-Out Burger","Fresh ingredients, worth the wait.",5
"Michael Jordan","McDonald's","Fast and convenient, but quality can vary.",3
"Larry Bird","McDonald's","Quick bites on the go.",3
"Magic Johnson","McDonald's","Not the healthiest, but good for cravings.",3
"Michael Jordan","Panera Bread","Good variety of healthy options, love their soups.",4
"Larry Bird","Panera Bread","Quality salads and cozy atmosphere.",4
"Magic Johnson","Panera Bread","Fresh bread and quality ingredients.",4
"Michael Jordan","Chipotle","Fresh ingredients and customizable bowls.",4
"Larry Bird","Chipotle","Quick and customizable Mexican food.",4
"Magic Johnson","Chipotle","Great for a quick and healthy meal.",4
"Michael Jordan","Steak 'n' Shake","Classic diner-style burgers and shakes.",3
"Larry Bird","Steak 'n' Shake","Milkshakes are a must-try.",3
"Magic Johnson","Steak 'n' Shake","Decent shakes and burgers.",3
"Michael Jordan","Wendy's","Good value for money, love their spicy chicken sandwich.",4
"Larry Bird","Wendy's","Convenient and affordable options.",3
"Magic Johnson","Wendy's","Spicy chicken nuggets are a hit.",4
"Michael Jordan","Panda Express","Quick and tasty Chinese fast food.",3
"Larry Bird","Panda Express","Convenient for fast Chinese options.",3
"Magic Johnson","Panda Express","Fast and flavorful Chinese dishes.",3
"Michael Jordan","Taco Bell","Perfect for late-night cravings and affordable.",3
"Larry Bird","Taco Bell","Cheap and satisfying fast food.",3
"Magic Johnson","Taco Bell","Quick bites with Mexican flavors.",3
"Michael Jordan","Jack in the Box","Decent burgers and their curly fries are a hit.",3
"Larry Bird","Jack in the Box","Good variety of menu items.",3
"Magic Johnson","Jack in the Box","Quick and convenient, but average.",3
"Michael Jordan","White Castle","Iconic sliders, great for a quick bite.",3
"Larry Bird","White Castle","Sliders are unique and tasty.",3
"Magic Johnson","White Castle","Sliders are a fun snack.",3
"Michael Jordan","Popeyes","Flavorful fried chicken and Cajun sides.",4
"Larry Bird","Popeyes","Great for fried chicken cravings.",4
